state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"29-04"	152	788	474	1			139	47	189	338	22	9	31	177	69	251	125	471	132	56	188	303	17	14	31	154	94	248	164	467	120	18	120	69	13	129	189	31	249	258	211	469																								
"HI"	2012	"30-01"	153	2057	1096	1			313	81	398	832	48	15	63	471	152	630	248	1091	284	113	397	746	43	20	63	419	205	624	338	1084	259	40	371	137	23	249	396	63	620	670	409	1079																								
"HI"	2012	"30-02"	154	3595	1764	1			822	232	1059	1331	67	18	85	442	158	603	408	1747	715	346	1061	1178	62	21	83	401	198	599	565	1743	691	56	330	366	27	267	1057	83	597	1077	660	1737																								
"HI"	2012	"30-03"	155	1067	280	1			43	25	68	145	8	12	20	94	96	192	133	280	29	34	63	109	7	13	20	73	114	187	161	270	32	8	66	31	12	117	63	20	183	106	160	266																								
"HI"	2012	"30-04"	156	1394	703	1		16	179	54	235	525	27	4	31	319	114	436	172	702	167	63	230	476	25	5	30	284	146	430	214	690	149	22	229	83	8	197	232	30	426	400	288	688													173	23	275	44	5	122	217	28	397	471	171	642
"HI"	2012	"31-01"	157	2108	1454	1	31		431	157	589	1038	56	21	77	551	215	775	393	1441	364	209	573	891	45	31	76	482	291	773	531	1422	349	39	406	233	36	364	582	75	770	794	633	1427	131	18	179	432	51	553	563	69	732	328	1036	1364												
"HI"	2012	"31-02"	158	736	239	1	31		15	23	40	121	7	9	16	99	79	183	111	239	14	20	34	109	7	9	16	88	93	181	122	231	14	4	77	21	12	97	35	16	174	95	130	225	12	5	71	20	11	88	32	16	159	88	119	207												
"HI"	2012	"31-03"	159	4420	2651	1	31		544	293	844	1742	94	50	147	1104	526	1652	869	2643	448	386	834	1407	74	74	148	885	749	1634	1209	2616	417	65	785	414	81	832	831	146	1617	1267	1327	2594	273	42	543	520	99	1015	793	141	1558	858	1634	2492												
"HI"	2012	"31-04"	160	678	351	1	31		93	40	135	234	22	7	30	119	65	186	112	351	63	69	132	174	18	12	30	93	91	184	172	346	61	19	70	74	11	109	135	30	179	150	194	344	39	18	64	77	9	110	116	27	174	121	196	317												
"HI"	2012	"31-05"	161	1	0	1	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HI"	2012	"31-06"	162	3341	1929	1	31	16	508	219	730	1305	82	33	120	715	351	1074	603	1924	480	246	726	1163	68	51	119	615	447	1062	744	1907	435	68	537	285	51	512	720	119	1049	1040	848	1888	285	46	417	391	68	573	676	114	990	748	1032	1780	511	75	675	161	38	302	672	113	977	1261	501	1762
"HI"	2012	"32-01"	163	2073	1539	1	32		539	155	704	1111	54	32	86	518	214	742	401	1532	464	230	694	933	38	47	85	431	309	740	586	1519	412	37	397	285	48	331	697	85	728	846	664	1510	493	47	464	208	36	260	701	83	724	1004	504	1508												
"HI"	2012	"32-02"	164	5341	3357	1	32		991	402	1416	2359	180	44	231	1188	484	1691	930	3338	857	544	1401	1949	144	85	229	948	717	1665	1346	3295	814	131	819	587	102	832	1401	233	1651	1764	1521	3285	1003	178	1095	383	49	525	1386	227	1620	2276	957	3233												
