"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"16"	"350 Reflection Lake"	"16"	"NA"	"1"	"AK"	2014		495	1090		319			586	466	581	1054				480	546	1098	518	531	1105
"16"	"355 Wonder Park"	"16"	"NA"	"1"	"AK"	2014		241	643		220			335	389	242	637				311	283	649	341	256	651
"17"	"400 Rogers Park"	"17"	"I"	"1"	"AK"	2014		252	652		144			362	455		499	467		522	374	241	651	365	268	656
"17"	"405 University No. 1"	"17"	"I"	"1"	"AK"	2014		119	351		86			182	254		268	261		280	195	128	353	197	136	357
"17"	"410 University No. 2"	"17"	"I"	"1"	"AK"	2014		198	478		128			280	332		361	336		367	239	201	479	267	194	489
"17"	"415 Far North Bicentennial"	"17"	"I"	"1"	"AK"	2014		211	453		153			230	316		341	321		344	188	233	458	208	218	462
"17"	"420 Tudor No. 1"	"17"	"I"	"1"	"AK"	2014		475	1133		265			655	814		877	833		904	520	540	1138	562	492	1148
"17"	"425 Tudor No. 2"	"17"	"I"	"1"	"AK"	2014		195	548		154			288	410		442	417		450	270	236	553	308	210	563
"17"	"430 East Anchorage"	"17"	"I"	"1"	"AK"	2014		147	378		115			204	291		308	299		314	199	161	389	201	149	389
"18"	"435 West Anchorage No. 1"	"18"	"I"	"1"	"AK"	2014		176	425		97			239	238		372	273		300	248	168	428	236	183	429
"18"	"440 West Anchorage No. 2"	"18"	"I"	"1"	"AK"	2014		105	308		81			154	153		274	206		230	169	111	308	181	110	315
"18"	"445 Spenard"	"18"	"I"	"1"	"AK"	2014		176	505		175			229	259		447	364		394	246	232	511	290	185	513
